,job,money,skill,ink,area,jobDes,inkDes
171,运维工程师,9k-13k,IT技术服务｜咨询 软件服务｜咨询 JAVA JavaScript Perl Tomcat ORACLE,中科软,[杭州·近江],“稳定项目，长期发展，内部晋升机会多，大型平台”,IT技术服务｜咨询 / 上市公司 / 2000人以上
172,云运维工程师（安全）,12k-20k,IT技术服务｜咨询 软件服务｜咨询 Linux,Bespin Global China,[合肥·蜀山区],“六险一金”,不限 / B轮 / 150-500人
173,运维工程师,6k-12k,IT技术服务｜咨询 科技金融 MySQL DB2 Linux WAS 应用系统运维,新纽科技,[济南·历城区],“工作稳定，有进入甲方的机会”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 500-2000人"
174,devops运维工程师(j10133),15k-30k,IT技术服务｜咨询 JAVA,联通数字科技有限公司,[南京·秦淮区],“五险一金、双休、国企”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
175,运维经理(j10114),15k-30k,IT技术服务｜咨询 JAVA,联通数字科技有限公司,[南京·秦淮区],“五险一金、双休、国企”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
176,27510a-应用运维工程师,15k-25k,科技金融 Linux Python Shell,平安付,[上海·斜土路],“节日福利、五险一金、定期体检”,金融 / 未融资 / 500-2000人
177,41071-腾讯会议网络运维工程师（CSIG全资子公司）,30k-60k,游戏 社交媒体,腾讯,[深圳·南山区],"“互联网大厂,公司氛围好”","游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上"
178,运维工程师,9k-17k,IT技术服务｜咨询 Linux AIX Nagios 应用运维 系统运维,京北方,[北京·万寿寺],“福利待遇好，交通便利，薪资可谈”,IT技术服务｜咨询 / 上市公司 / 2000人以上
179,wms实施运维工程师,10k-15k,物流｜运输 SQL Server MySQL,越海,[深圳·南山区],“业务成熟 平台稳定 周末双休 有偿加班”,物流｜运输 / A轮 / 2000人以上
180,wms实施运维工程师,10k-15k,物流｜运输 SQL Server MySQL,越海,[深圳·南山区],“业务成熟 平台稳定 周末双休 有偿加班”,物流｜运输 / A轮 / 2000人以上
181,运维工程师（成都）,7k-9k,物联网 信息安全 Linux Shell,中电慧安,[成都·汪家拐],“技术提升 发展前景 团队优秀”,信息安全 / 不需要融资 / 150-500人
182,中级运维工程师,8k-11k,金融业 Python MySQL Grafana Zabbix,广州华工弈高,[广州·珠江新…],“调薪、周末双休、五险一金、年终奖”,其他 / 未融资 / 50-150人
183,云运维工程师,15k-30k,IT技术服务｜咨询 Kubernetes(K8s),广州南天,[广州·天河区],“五险一金 周末双休 带薪假期 员工旅游”,IT技术服务｜咨询 / 上市公司 / 500-2000人
184,运维专员（L1）,5k-7k,数据服务｜咨询 MySQL SQL Server,赛博威,[广州·淘金],“周末双休、五险一金”,"软件服务｜咨询,新零售 / 不需要融资 / 500-2000人"
185,运维经理,20k-30k,软件服务｜咨询 科技金融 Kubernetes(K8s),松茂科技,[深圳·新安],“十点上班，业务稳定，餐补车补，扁平化管理”,软件服务｜咨询 / 不需要融资 / 50-150人
186,运维工程师（中级）,15k-20k,软件服务｜咨询 科技金融 Kubernetes(K8s),松茂科技,[深圳·新安],“十点上班，业务稳定，年终奖，餐补车补”,软件服务｜咨询 / 不需要融资 / 50-150人
187,sre运维工程师,30k-50k,软件服务｜咨询 Python,云账户,[北京·望京],“保底16个月月薪 三餐免费 工作居住证 绩效奖”,数据服务｜咨询 / C轮 / 500-2000人
188,实施运维工程师(j10741),8k-12k,软件服务｜咨询 Linux,容联云通讯,[深圳·大冲],“平台稳定，成长空间大”,"IT技术服务｜咨询,网络通信 / 上市公司 / 500-2000人"
189,资深运维工程师,30k-60k,科技金融 JAVA DBA 中间件 公有云,欧科云链集团,[北京·西北旺],“六险一金，分布式办公，超高福利，团队大牛”,区块链 / 上市公司 / 2000人以上
190,系统运维高级工程师,11k-20k,软件服务｜咨询 GO Linux TCP/IP,易趣科技,[武汉·洪山区],“项目奖金、13薪、扁平化管理”,游戏 / 不需要融资 / 50-150人
191,生产运维(系统稳定性)工程师 (MJ001308),20k-40k,科技金融 Python Linux Kubernetes(K8s),蓝诺微银,[北京·北京站],“集团背景、海外平台、免费三餐、交通便利”,科技金融 / C轮 / 500-2000人
192,运维经理 (MJ001363),40k-80k,科技金融 Python Kubernetes(K8s),蓝诺微银,[北京·北京站],“海外平台，免费三餐，交通便利”,科技金融 / C轮 / 500-2000人
193,业务运维工程师,15k-30k,软件服务｜咨询 JAVA Python MySQL Kubernetes(K8s) Prometheus,领星,[深圳·西丽],“高速增长 扁平管理 团队氛围好 文化活泼”,"软件服务｜咨询,数据服务｜咨询 / C轮 / 500-2000人"
194,高级/资深数据库运维工程师,20k-40k,节日礼物 技能培训 免费班车 带薪年假,网易,[北京·西北旺],"“大平台,发展好”","内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上"
