,job,money,skill,ink,area,jobDes,inkDes
122,高级dba工程师,25k-40k,数据服务｜咨询 IT技术服务｜咨询 SQL Server MySQL ORACLE DB2,美的集团,[佛山·北滘],“DBA 运维 日语 英文”,制造业 / 不需要融资 / 2000人以上
123,dba工程师,18k-35k,新能源汽车制造 MySQL,路特斯,[武汉·汉阳区],“周末双休，上市公司背景”,新能源汽车制造 / 未融资 / 500-2000人
124,高级/资深数据库运维工程师,20k-40k,节日礼物 技能培训 免费班车 带薪年假,网易,[北京·西北旺],"“大平台,发展好”","内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上"
125,数据库管理员DBA,8k-15k,金融业 内容资讯 SQL Server ORACLE Linux,财新数据科技有限公司,[武汉·光谷],“五险一金 定期体检 周末双休”,金融业 / 未融资 / 50-150人
126,高级dba工程师,20k-35k,制造业 物流｜运输 SQL,美的集团IT,[佛山·顺德区],“创新类项目，世界五百强，五险一金，不内卷”,制造业 / 上市公司 / 2000人以上
127,数据库管理员dba,14k-28k,科技金融 IT技术服务｜咨询 MySQL ORACLE Linux AIX Kubernetes(K8s),兴业数金,[上海·唐镇],“头部股份制商业银行全资科技子公司”,科技金融 / 不需要融资 / 500-2000人
128,dba,13k-18k,SQL MySQL ORACLE Linux 软件,朗新科技,[广州·海珠区],“上市公司，规模5000人+，年终奖丰厚，六险一金”,软件服务｜咨询 / 上市公司 / 2000人以上
129,数据库运维工程师,12k-18k,新零售 MySQL Windows Linux DBA,西西弗书店,[重庆·大坪],“五险一金、节日福利、氛围融洽”,新媒体 / 不需要融资 / 2000人以上
130,C语言研发工程师(数据库内核方向)1143,15k-25k,大数据,中移信息技术,[北京·昌平区],“团队实力强”,"数据服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
131,数据库开发工程师（dba）,10k-20k,旅游｜出行 生活服务 MySQL,优臻交通科技,[郑州·郑东新…],“牛人带队、弹性工作、晋升空间大”,科技金融 / 未融资 / 500-2000人
132,中级dba,10k-15k,科技金融 Python SQL MySQL Linux,海创云出海计算,[成都·高新区],“数据运维”,数据服务｜咨询 / 不需要融资 / 50-150人
133,数据库运维工程师,10k-20k,金融业 Linux ORACLE MySQL,京北方,[北京·太平桥],“五险一金，带薪休假”,IT技术服务｜咨询 / 上市公司 / 2000人以上
134,数据库工程师,12k-13k,ORACLE Python Linux DBA MySQL,白云信息科技有限公司,[广州·人和],“求贤若渴”,其他 / 不需要融资 / 150-500人
135,oracle数据库开发工程师,14k-20k,IT技术服务｜咨询 etl,雁展科技,[北京·建国门],“发展前景好”,"IT技术服务｜咨询,软件服务｜咨询 / B轮 / 50-150人"
136,数据库内核测试开发工程师,12k-20k,物联网 工具类产品 SQL 性能测试 白盒测试 功能测试 Jira,天谋科技,[北京·五道口],“Apache 一级项目商业化公司、社区初创团队”,物联网 / 天使轮 / 15-50人
137,dba数据库工程师,25k-35k,贸易｜进出口 SQL SQL Server MySQL DB2,卓志集团,[广州·大沙],“央企入驻，与政府部门合作，项目稳定，利于提升”,物流平台 / 不需要融资 / 500-2000人
138,分布式数据库开发工程师,20k-40k,Linux MySQL PostgreSQL(PSQL) C++ C语言 云原生,华为技术有限公司,[上海·浦东新…],“深度参下一代分布式数据库技术从0到1构建”,"智能硬件,IT技术服务｜咨询,制造业 / 不需要融资 / 2000人以上"
139,DBA,30k-60k,MySQL,拼多多,[上海·天山路],“快速发展平台，股票激励，待遇优厚”,电商平台 / 上市公司 / 2000人以上
140,数据库内核开发工程师,20k-40k,软件服务｜咨询 IT技术服务｜咨询 C语言 C++,云和恩墨,[成都·天府新…],“行业标杆，上市计划，云集大牛”,"数据服务｜咨询,软件服务｜咨询 / 不需要融资 / 500-2000人"
141,软件工程师 - 分布式数据库测试 (MJ000230),20k-40k,人工智能服务 自动化测试 软件测试,墨奇科技,[北京·西苑],“自由灵活、大牛带队、带薪年休假、各类福利”,人工智能服务 / B轮 / 150-500人
142,22989-数据库文档开发工程师（CSIG全资子公司）,30k-60k,游戏 社交媒体,腾讯,[深圳·南山区],"“互联网大厂,公司氛围好”","游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上"
143,数据库内核开发工程师,20k-40k,软件服务｜咨询 IT技术服务｜咨询 C语言 C++,云和恩墨,[西安·雁塔区],“行业标杆，上市计划，云集大牛”,"数据服务｜咨询,软件服务｜咨询 / 不需要融资 / 500-2000人"
144,数据库内核软件工程师,20k-40k,软件服务｜咨询 IT技术服务｜咨询 C语言 C++,云和恩墨,[北京·朝阳区],“行业标杆，上市计划，云集大牛”,"数据服务｜咨询,软件服务｜咨询 / 不需要融资 / 500-2000人"
145,DBA工程师,15k-25k,CI/CD MySQL Linux,DataHunter,[北京·海淀区],“五险一金、带薪年假、期权”,"数据服务｜咨询,营销服务｜咨询 / B轮 / 50-150人"
146,数据库内核测试开发工程师,15k-30k,物联网 工具类产品 JAVA SQL 性能测试 白盒测试 Jira,天谋科技,[天津·北辰区],“Apache 一级项目商业化公司、社区初创团队”,物联网 / 天使轮 / 15-50人
147,数据库产品研发工程师,16k-30k,物联网 工具类产品 JAVA C++ 大数据 基础架构,天谋科技,[北京·五道口],“Apache 一级项目商业化公司、社区初创团队”,物联网 / 天使轮 / 15-50人
148,Database Engineer/数据库工程师,15k-20k,软件服务｜咨询 SQL ETL,活跃网络,[成都·锦江区],“年假17天，拒绝打卡，没有加班”,IT技术服务｜咨询 / 上市公司 / 500-2000人
149,数据库开发工程师,15k-17k,金融业 SQL SQL Server MySQL ORACLE PostgreSQL(PSQL),微创软件,[北京·北下关],“知名保险公司，国企”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
150,DBA工程师,15k-30k,技能培训 股票期权 专项奖金 带薪年假,达内集团,[北京·西直门],“上市平台”,教育｜培训 / 上市公司 / 2000人以上
151,dba数据库工程师（BJ）,25k-35k,MySQL ORACLE Python Shell 银行,亿联银行,[长春·南关区],“扁平化管理、晋升空间、能力提升”,"科技金融,IT技术服务｜咨询 / 不需要融资 / 150-500人"
152,资深数据库工程师（DBA）,18k-35k,电商平台 MySQL bash xtrabackup InnoBackup,SHEIN,[南京·雨花台…],“竞争力薪资、跨境电商大平台”,电商平台 / C轮 / 2000人以上
153,高级DBA工程师,25k-50k,Linux MySQL,陌陌,[北京·望京],“完善的福利”,社交平台 / 上市公司 / 500-2000人
154,数据库开发工程师,16k-21k,软件服务｜咨询 IT技术服务｜咨询 ORACLE hive,京北方,[上海·金桥],“集中编组”,IT技术服务｜咨询 / 上市公司 / 2000人以上
155,数据分析DBA(J17345),15k-25k,能源｜矿产｜环保 ORACLE Python MySQL,金风科技,[北京·大兴区],"“年终奖金,发展空间大,公司规模大”",能源｜矿产｜环保 / 上市公司 / 2000人以上
156,数据库售前工程师,18k-35k,软件服务｜咨询 人工智能服务,深算院,[深圳·龙华新…],“大咖带队”,数据服务、人工智能 / 未融资 / 150-500人
157,高级数据工程师(系统工程师/DBA）,20k-30k,IT技术服务｜咨询 SQL Server MySQL ORACLE DB2 Windows,中企通信,[上海·淞南],“公司平台大 补充公积金 通讯补贴”,"数据服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人"
158,资深数据库开发工程师,12k-22k,软件服务｜咨询,嘉扬,[上海·浦东新…],“团队有趣”,移动互联网 / 不需要融资 / 150-500人
159,dba数据库工程师,12k-22k,软件服务｜咨询 IT技术服务｜咨询 ORACLE MySQL,新数科技,[杭州·余杭区],“核心产品开发，行业前景好，上升机会多”,"软件服务｜咨询,IT技术服务｜咨询 / A轮 / 150-500人"
160,高级数据库开发工程师（c/c++）,20k-35k,软件服务｜咨询 IT技术服务｜咨询 SQL MySQL Linux Unix,巨杉数据库,[广州·大学城],“发展前景好”,数据服务｜咨询 / D轮及以上 / 150-500人
161,dba数据库管理员,20k-40k,游戏 C语言 Python MySQL,Garena,[上海·漕河泾],“五险一金 ，免费零食，双休，带薪年假”,"游戏,内容社区 / 上市公司 / 500-2000人"
162,后端高级工程师-OLAP分析型数据库,35k-70k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,五险一金,股票期权”","内容资讯,短视频 / D轮及以上 / 2000人以上"
163,云原生数据库PostgreSQL开发工程师,25k-50k,后端开发,字节跳动,[北京·海淀区],"“团队氛围好,晋升空间大,带薪休假”","内容资讯,短视频 / D轮及以上 / 2000人以上"
164,数据库运维工程师(J10308),15k-25k,科技金融 MySQL ORACLE DB2,建信金科,[北京·朝阳区],“平台好，福利丰富，发展空间大”,科技金融 / 不需要融资 / 2000人以上
165,dba数据库工程师,12k-22k,软件服务｜咨询 IT技术服务｜咨询 ORACLE MySQL,新数科技,[杭州·余杭区],“核心产品开发，行业前景好，上升机会多”,"软件服务｜咨询,IT技术服务｜咨询 / A轮 / 150-500人"
166,高级数据库开发工程师（c/c++）,20k-35k,软件服务｜咨询 IT技术服务｜咨询 SQL MySQL Linux Unix,巨杉数据库,[广州·大学城],“发展前景好”,数据服务｜咨询 / D轮及以上 / 150-500人
167,dba数据库管理员,20k-40k,游戏 C语言 Python MySQL,Garena,[上海·漕河泾],“五险一金 ，免费零食，双休，带薪年假”,"游戏,内容社区 / 上市公司 / 500-2000人"
168,后端高级工程师-OLAP分析型数据库,35k-70k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,五险一金,股票期权”","内容资讯,短视频 / D轮及以上 / 2000人以上"
169,数据库运维工程师(J10308),15k-25k,科技金融 MySQL ORACLE DB2,建信金科,[北京·朝阳区],“平台好，福利丰富，发展空间大”,科技金融 / 不需要融资 / 2000人以上
