,job,money,skill,ink,area,jobDes,inkDes
162,字节iOS开发工程师-抖音社交,40k-80k,音频｜视频媒体 短视频,,[北京·西北旺],“非常有竞争力”,"专业服务｜咨询,IT技术服务｜咨询 / 未融资 / 500-2000人"
163,资深Android研发工程师--海外啫喱,45k-80k,游戏,,[北京·朝阳区],“发展好”,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人"
164,高级前端开发工程师,20k-35k,社交媒体 音频｜视频媒体 Vue,,[北京·望京],“发展前景”,"工具类产品,专业服务｜咨询 / 未融资 / 150-500人"
165,字节IOS、Android开发--抖音直播,30k-60k,内容社区 移动客户端开发,某知名互联网公司,[广州·棠景],“大平台”,
166,前端开发工程师-业务支援,20k-25k,Vue 硬件,,[北京·亦庄],“上市公司，六环内班车，六险二金，各种补贴”,IT技术服务｜咨询 / 未融资 / 150-500人
167,前端开发专家（安卓架构）,20k-40k,音频｜视频媒体 Web前端开发 Android,,[上海·金桥],“发展前景猎头岗位”,专业服务｜咨询 / 未融资 / 500-2000人
168,性能优化-android（主APP）,50k-70k,电商平台 人工智能服务 移动客户端开发,,[北京·朝阳区],“外企双休 不加班”,专业服务｜咨询 / 不需要融资 / 150-500人
169,资深iOS开发工程师/技术专家,45k-80k,电商平台,,[北京·朝阳区],“外企、上市公司、核心业务、亿级用户”,专业服务｜咨询 / 不需要融资 / 150-500人
170,前端web开发工程师,20k-40k,IT技术服务｜咨询 物联网 JavaScript HTML Html5 Node.js MySQL,,[深圳·大冲],“福利优厚”,"新媒体,专业服务｜咨询,文化传媒 / 未融资 / 50-150人"
171,ios开发工程师,50k-80k,内容社区,某大型互联网公司,[北京·小关],“福利佳”,
172,华润万象生活 WEB前端专家,50k-100k,消费生活 JavaScript HTML CSS,,[深圳·南山区],“上市公司”,企业服务 / 未融资 / 15-50人
173,京东方 前端开发工程师,15k-25k,分类信息 Web前端开发,,[北京·亦庄],“上市公司”,企业服务 / 未融资 / 15-50人
174,高级前端开发工程师,20k-40k,社交媒体 MCN｜直播平台 Vue 移动前端开发 APP端 业务端 页面,,[北京·常营],“双休 不卷”,"工具类产品,专业服务｜咨询 / 未融资 / 150-500人"
175,c++工程师,15k-30k,在线教育,,[北京·大望路],“国学传承、企业家氛围”,"工具类产品,数据服务｜咨询,专业服务｜咨询 / 未融资 / 150-500人"
