,job,money,skill,ink,area,jobDes,inkDes
63,硬件工程师,15k-25k,网络通信 Cadence,恒光信息,[北京·世纪城],“发展前景”,信息安全 / 上市公司 / 150-500人
64,高级硬件开发工程师,18k-26k,人工智能服务 智能硬件 ARM AR/VR PCB设计 智能硬件 智能手机,谷东科技,[广州·黄埔区],“股权激励 高额项目奖金 扁平化管理”,"数据服务｜咨询,人工智能服务,智能硬件 / 未融资 / 50-150人"
65,结构工程师,12k-18k,信息安全 网络通信 通信,中电慧安,[深圳·南山区],“技术实力”,信息安全 / 不需要融资 / 150-500人
66,硬件工程师,15k-25k,人工智能服务 智能硬件 CPU,深兰科技,[上海·北新泾],“人工智能行业头部企业 技术氛围浓 大牛多”,"人工智能服务,智能硬件 / B轮 / 500-2000人"
67,硬件工程师,15k-25k,物联网 DSP ARM Cadence PADS,酷开科技,[南京·雨花台…],“平台好”,软件服务｜咨询 / D轮及以上 / 500-2000人
68,高级硬件工程师/硬件开发代表(J11063),30k-40k,智能硬件 ARM PADS orCAD,普渡科技,[深圳·南山区],“年终奖；技术文化”,智能硬件 / C轮 / 2000人以上
69,电驱硬件开发工程师(J11050),20k-40k,人工智能服务 智能硬件 示波器 机器人,普渡科技,[深圳·南山区],“机器人独角兽、行业赛道前景好”,智能硬件 / C轮 / 2000人以上
70,硬件工程师,10k-20k,智能硬件 网络通信 示波器 信号分析仪 频谱仪 PADS orCAD,深圳康佳电子科技有限公司,[深圳·光明新…],“智能产品研发、技术大佬带领、团队单纯、国企”,电商平台 / 不需要融资 / 2000人以上
71,硬件工程师,10k-20k,制造业,ARTOM,[深圳·龙华新…],"“周末双休,福利待遇,高素质团队”",硬件 / A轮 / 15-50人
72,硬件工程师,18k-26k,FPGA ARM CPU,中电慧安,[深圳·南山区],“发展前景 技术实力”,信息安全 / 不需要融资 / 150-500人
73,硬件工程师,15k-30k,IT技术服务｜咨询,小溪流科技,[深圳·宝安区],“五险一金 年终奖金 带薪年假 定期体检”,IT技术服务｜咨询 / 不需要融资 / 50-150人
74,结构工程师,15k-25k,智能硬件 物联网 消费电子结构工,天津华来科技有限公司,[北京·上地],“小米生态链-智能硬件行业-智能家居类产品”,"制造业,智能硬件 / 不需要融资 / 50-150人"
75,结构工程师,10k-20k,智能硬件,禧涤智能,[深圳·龙岗区],“扁平化管理；团队氛围好；优秀的团队伙伴。”,智能硬件 / A轮 / 50-150人
76,硬件工程师,18k-35k,MCU FPGA DSP ARM 风电,人瑞,[北京·亦庄],“五险一金，不加班，福利好，平台稳定”,专业服务｜咨询 / 上市公司 / 2000人以上
77,硬件工程师,15k-25k,智能硬件 Altium,浙江省北大信研院,[杭州·宁围],“弹性工作、年终奖金、股票期权、定期体检等”,人工智能服务 / 不需要融资 / 150-500人
78,高级硬件开发工程师,18k-26k,人工智能服务 智能硬件 ARM AR/VR PCB设计 智能硬件 智能手机,谷东科技,[广州·黄埔区],“股权激励 高额项目奖金 扁平化管理”,"数据服务｜咨询,人工智能服务,智能硬件 / 未融资 / 50-150人"
79,硬件工程师,20k-40k,人工智能服务 智能硬件 C++,北京与之科技有限公司,[北京·海淀区],“风口行业、职业发展、办公舒适、免费食堂”,"人工智能服务,IT技术服务｜咨询 / 不需要融资 / 50-150人"
80,硬件工程师,22k-30k,物联网 智能硬件 PADS orCAD,深圳市罗丹贝尔科技有限公司,[深圳·龙岗区],“周末双休 带薪年假 节日福利 不定期聚餐”,物联网 / 不需要融资 / 15-50人
81,硬件EDA软件开发工程师,10k-20k,技术族 软件类 通用软件,华为技术有限公司,[深圳],“EDA”,"智能硬件,IT技术服务｜咨询,制造业 / 不需要融资 / 2000人以上"
82,硬件工程师,4k-5k,软件服务｜咨询 SQL Windows Linux,阿科瑟司（北京）科技有限公司,[北京·朝阳区],“五险一金;弹性工作;补充医疗保险;中外合资”,"移动互联网,企业服务 / 不需要融资 / 15-50人"
83,硬件工程师,15k-25k,人工智能服务 智能硬件 CPU,深兰科技,[上海·北新泾],“人工智能行业头部企业 技术氛围浓 大牛多”,"人工智能服务,智能硬件 / B轮 / 500-2000人"
84,高级硬件工程师/硬件开发代表(J11063),30k-40k,智能硬件 ARM PADS orCAD,普渡科技,[深圳·南山区],“年终奖；技术文化”,智能硬件 / C轮 / 2000人以上
85,电驱硬件开发工程师(J11050),20k-40k,人工智能服务 智能硬件 示波器 机器人,普渡科技,[深圳·南山区],“机器人独角兽、行业赛道前景好”,智能硬件 / C轮 / 2000人以上
86,硬件工程师,10k-20k,医疗｜保健｜美容 在线医疗,奥迈医疗,[广州·天河区],“双休，六险一金，发展前景好”,医疗丨健康 / C轮 / 15-50人
87,结构工程师,10k-18k,电商平台 支架类目,志仕,[深圳·龙岗区],“公司平台好，发展前景大，扁平化管理”,"电商平台,智能硬件,贸易｜进出口 / 未融资 / 500-2000人"
88,硬件工程师,10k-20k,制造业,ARTOM,[深圳·龙华新…],"“周末双休,福利待遇,高素质团队”",硬件 / A轮 / 15-50人
89,高级硬件工程师,20k-30k,智能硬件 制造业 示波器 信号发生器 信号分析仪 Cadence orCAD,禾苗通信,[深圳·车公庙],“提供工作餐 福利人才房 五险一金 带薪假期”,硬件 / 上市公司 / 500-2000人
90,硬件工程师,4k-5k,软件服务｜咨询 SQL Windows Linux,阿科瑟司（北京）科技有限公司,[北京·朝阳区],“五险一金;弹性工作;补充医疗保险;中外合资”,"移动互联网,企业服务 / 不需要融资 / 15-50人"
91,硬件工程师,9k-18k,信息安全 物联网 Cadence 原理图设计 pads PCB,齐安科技,[西安·雁塔区],“五险一金 双休 快速成长型企业 项目”,"信息安全,物联网,软件服务｜咨询 / A轮 / 50-150人"
92,硬件工程师,15k-25k,人工智能服务 智能硬件 CPU,深兰科技,[上海·北新泾],“人工智能行业头部企业 技术氛围浓 大牛多”,"人工智能服务,智能硬件 / B轮 / 500-2000人"
93,硬件工程师,10k-20k,人工智能服务 C语言 FPGA 军民融合 Verilog PCB设计,蒲莱科技,[成都·郫都区],“周末双休、包住宿、五险一金、年终奖”,人工智能服务 / 未融资 / 50-150人
94,结构工程师,10k-15k,IT技术服务｜咨询 软件服务｜咨询 结构设计 塑胶建模 钣金工艺,软通动力,[武汉·江夏区],“五险一金，免费培训，上市公司”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
95,高级硬件工程师/硬件开发代表(J11063),30k-40k,智能硬件 ARM PADS orCAD,普渡科技,[深圳·南山区],“年终奖；技术文化”,智能硬件 / C轮 / 2000人以上
96,硬件工程师,10k-20k,物联网 示波器 信号发生器 信号分析仪 Cadence PADS,儒安物联,[上海·闵行区],“活力团队，规范企业；朝阳产业，前景无限。”,"数据服务,物联网 / 未融资 / 50-150人"
97,硬件工程师,2k-3k,人工智能服务 Altium Protel,广东珺桦能源科技有限公司,[广州·黄埔区],“周末双休、弹性办公”,人工智能服务 / 未融资 / 15-50人
98,电驱硬件开发工程师(J11050),20k-40k,人工智能服务 智能硬件 示波器 机器人,普渡科技,[深圳·南山区],“机器人独角兽、行业赛道前景好”,智能硬件 / C轮 / 2000人以上
99,硬件工程师,10k-20k,制造业,ARTOM,[深圳·龙华新…],"“周末双休,福利待遇,高素质团队”",硬件 / A轮 / 15-50人
