,job,money,skill,ink,area,jobDes,inkDes
91,web前端开发工程师,18k-35k,软件服务｜咨询 人工智能服务 JavaScript CSS React Vue,斯智信息科技（上海）有限公司,[上海·徐汇区],“人工智能，氛围好；扁平化，机会多，上海落户”,"软件服务｜咨询,人工智能服务 / A轮 / 15-50人"
92,web前端开发工程师,16k-30k,网络通信 人工智能服务 JavaScript Html5 CSS React Vue,沃点网络,[上海·浦东新…],“双休、工作轻松稳定、有成长空间、五险一金”,"IT技术服务｜咨询,网络通信 / B轮 / 150-500人"
93,web前端开发工程师,16k-22k,汽车交易平台 科技金融 Vue,惠瀜,[杭州·萧山区],“团队稳定、规模大”,IT技术服务｜咨询 / B轮 / 150-500人
94,web前端开发工程师,15k-25k,软件服务｜咨询 JavaScript React Vue,微创软件,[深圳·新安],“五险一金，周末双休”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
95,Web前端开发工程师,10k-20k,专业服务｜咨询,MDPI,[武汉·武昌区],“六险一金 带薪年假 综合补贴”,其他 / 不需要融资 / 500-2000人
96,web前端开发工程师,8k-15k,IT技术服务｜咨询 软件服务｜咨询 JavaScript CSS Vue,千航科技,[杭州·西兴],“五险一金 、双休、节日福利、团队旅游”,IT技术服务｜咨询 / 不需要融资 / 50-150人
97,web前端开发工程师,12k-22k,网络通信 JavaScript Html5 CSS Vue Node.js,梦网科技,[深圳·科技园],“上市公司周末双休超高薪资五险一金晋升空间”,"IT技术服务｜咨询,软件服务｜咨询 / 上市公司 / 500-2000人"
98,web前端开发工程师,8k-15k,软件服务｜咨询 JavaScript .NET Vue React CSS,51JOB,[武汉·东湖新…],“扁平化管理、年轻团队氛围好”,工具类产品 / 上市公司 / 2000人以上
99,web前端开发工程师,8k-16k,软件服务｜咨询 IT技术服务｜咨询 Html5 CSS JavaScript Vue,天天数链,[深圳·翠竹],“可居家办公 年龄不设上限”,"软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 150-500人"
100,web前端开发工程师,16k-22k,软件服务｜咨询 金融业 HTML JavaScript React Vue,昊颖科技,[杭州·德胜],“团队氛围佳，福利待遇好”,"消费生活,电商 / 不需要融资 / 150-500人"
101,web前端开发工程师,10k-15k,IT技术服务｜咨询 软件服务｜咨询 JavaScript Html5 移动端,事成软件,[上海·浦东新…],“技术大牛，团队氛围轻松，领导nice”,IT技术服务｜咨询 / 上市公司 / 50-150人
102,web前端开发工程师,10k-20k,软件服务｜咨询 IT技术服务｜咨询 TypeScript Vue Node.js,Linkflow,[南京·开发区],“双休，先进的技术栈，扁平化管理”,软件服务｜咨询 / A轮 / 50-150人
103,web前端开发工程师,14k-21k,软件服务｜咨询 科技金融 React,CLPS,[上海·张江],“14天带薪年假，六险一金，周末双休不加班打卡”,软件服务｜咨询 / 上市公司 / 500-2000人
104,web前端开发工程师,15k-30k,IT技术服务｜咨询 HTML CSS Vue MyBatis,中软国际科技服务有限公司,[深圳·龙岗区],“周末双休，入职购买五险一金，上市公司”,IT技术服务｜咨询 / 上市公司 / 2000人以上
105,web前端开发工程师,12k-20k,TypeScript HTML CSS Node.js,中科软,[北京·海淀区],“未来可发展为项目经理或部门经理”,IT技术服务｜咨询 / 上市公司 / 2000人以上
