,tag,job,low_wages,hight_wages,year_wages,city,ink,staff,skill,jobDes,inkDes
957,3,Java开发工程师,9.0,15.0,144.0,广州,谷沃科技,500,,"五险一金,双休,培训,加班补贴,年度体检","金融,数据服务,未融资"
958,3,Java开发工程师,12.0,20.0,192.0,深圳,屈臣氏科技创新中心,150,,"五险一金,专业培训,双薪奖金,超长年假","电商平台,IT技术服务,咨询,不需要融资"
959,3,java开发工程师,10.0,11.0,126.0,成都,国科科技,500,"Springcloud,Springboot,redis",央企,"软件服务,咨询,IT技术服务,咨询,未融资"
960,3,java开发工程师,11.0,15.0,156.0,深圳,卡莱特,2000,,"上市公司,工作环境","IT技术服务,咨询,未融资"
961,3,java开发工程师,15.0,25.0,240.0,深圳,壹诺恒,2000,,双休,"人工智能服务,不需要融资"
962,3,java开发工程师,10.0,15.0,150.0,深圳,汇合,2000,"ORACLE,Spring","六险一金,一档社保,地铁周边,加班有偿","科技金融,不需要融资"
963,3,高级Java软件开发工程师,16.0,22.0,228.0,上海,廷桥信息,50,"IT,JavaScript,Spring","网络信息安全行业前景好,团队氛围好","IT技术服务,咨询,信息安全,软件服务,咨询,未融资"
964,3,软件开发工程师,15.0,25.0,240.0,上海,忻知科技,50,GO,晋升快,"IT技术服务,咨询,天使轮"
965,3,java开发工程师,9.0,14.0,138.0,武汉,中科软,2000,"Spring,MySQL",稳定,"IT技术服务,咨询,上市公司"
966,3,java开发工程师,8.0,15.0,138.0,上海,中科软,2000,"IT,Vue,Spring,MyBatis,ORACLE","五险一金,每年两次调薪,旅游,体检,年终奖等","IT技术服务,咨询,上市公司"
967,3,JAVA开发工程师,12.0,17.0,174.0,上海,Aspentech,2000,,"试用期全额,补充医疗保险,不打卡,带薪年假","软件服务,咨询,上市公司"
968,3,java开发工程师,15.0,25.0,240.0,深圳,杰成合力,150,,晋升快,"软件服务,咨询,不需要融资"
969,3,后端开发,20.0,40.0,360.0,上海,1Token,150,"PostgreSQL,PSQL,Linux","弹性工时,季度奖,年底,餐补,车补","科技金融,A轮"
970,3,Java开发工程师,10.0,18.0,168.0,广州,广州南天,2000,"JavaScript,Spring,MyBatis,IT","五险一金,周末双休,节日礼品,年度体检","IT技术服务,咨询,上市公司"
971,3,后端开发,20.0,40.0,360.0,上海,1Token,150,"PostgreSQL,PSQL,Linux","弹性工时,季度奖,年底,餐补,车补","科技金融,A轮"
972,3,java开发工程师,15.0,25.0,240.0,深圳,万博时代,500,,团队氛围好,"电商平台,营销服务,咨询,制造业,未融资"
973,3,java开发工程师,15.0,25.0,240.0,上海,紫牛云,500,"React,Vue","不加班,有年终奖","软件服务,咨询,人工智能服务,A轮"
974,3,后端开发工程师,35.0,50.0,510.0,北京,磐沄科技,150,"GO,Python,MyBatis,SQL,Server","发展空间大,独角兽,扁平化管理","区块链,C轮"
975,3,Java开发工程师,15.0,28.0,258.0,杭州,浙江保融,2000,"Spring,MyBatis,ORACLE","不定期团建,五险一金","科技金融,不需要融资"
976,3,后端开发工程师,25.0,50.0,450.0,上海,商汤科技,2000,"IT,C,GO","大平台,大神多,福利待遇好","人工智能服务,IT技术服务,咨询,上市公司"
977,3,java开发工程师,15.0,25.0,240.0,北京,地平线云数科技,15,"IT,MyBatis,Spring","大牛带队,试用期不打折,加班少,团队好,双休",
978,3,JAVA开发工程师,12.0,16.0,168.0,深圳,博奥特科技,2000,"JavaScript,MyBatis","周末双休,福利待遇好","IT技术服务,咨询,软件服务,咨询,未融资"
979,3,java开发工程师,13.0,18.0,186.0,杭州,刀豆网络,50,,发展前景好,"电商,文娱丨内容,A轮"
980,3,后端开发工程师,18.0,35.0,318.0,北京,泰康人寿,2000,JAVA,福利待遇好,"金融业,上市公司"
981,3,java开发工程师,13.0,25.0,228.0,北京,润通丰华,150,"IT,Netty,MySQL,Linux,TCP,IP","五险一金,餐补话补,周末双休,定期体检","IT技术服务,咨询,不需要融资"
982,3,java开发工程师,14.0,20.0,204.0,佛山,易立德,2000,"IT,Spring,MySQL","周末双休,年终奖,加班费","IT技术服务,咨询,不需要融资"
983,3,Java开发工程师,11.0,18.0,174.0,成都,京北方,2000,,五险一金,"IT技术服务,咨询,上市公司"
984,3,java开发工程师,11.0,18.0,174.0,北京,雁展科技,150,"IT,Vue",发展前景好,"IT技术服务,咨询,软件服务,咨询,B轮"
985,3,后端开发工程师,20.0,40.0,360.0,杭州,彼爱医疗,150,"JavaScript,Node,js","带薪年假,五险一金,扁平管理,岗位晋升","软件服务,咨询,A轮"
986,3,Software Engineer 2 SharePoint 后端开发,30.0,60.0,540.0,苏州,微软（中国）有限公司,2000,"IT,C,C","股票期权,灵活办公","软件服务,咨询,上市公司"
987,3,java开发工程师,20.0,40.0,360.0,深圳,万声音乐集团,150,"Spring,MySQL","工作环境舒适,福利待遇优越,同事关系融洽","文化传媒,休闲,娱乐,B轮"
988,3,java开发工程师,15.0,20.0,210.0,深圳,赞同科技,2000,,年终奖,"软件服务,咨询,数据服务,咨询,不需要融资"
989,3,软件开发工程师,8.0,15.0,138.0,苏州,苏州日升软件,150,"IT,JAVA,C,C,Java,NET,C","项目奖,年终奖,月度聚餐,节日福利,旅游","IT技术服务,咨询,未融资"
990,3,高级JAVA后端开发工程师,18.0,36.0,324.0,深圳,进门财经,150,Spring,"环境优雅,扁平化管理,晋升通道完善,股权激励","科技金融,B轮"
991,3,高级JAVA后端开发工程师（武汉）,15.0,30.0,270.0,武汉,进门财经,150,Spring,"环境优雅,扁平化管理,晋升通道完善,股权激励","科技金融,B轮"
992,3,java开发工程师,18.0,26.0,264.0,上海,加绩中国,2000,,"前景好,待遇好","企业服务,不需要融资"
993,3,java开发工程师,14.0,20.0,204.0,佛山,易立德,2000,"IT,Spring,MySQL","周末双休,年终奖,加班费","IT技术服务,咨询,不需要融资"
994,3,java开发工程师,10.0,20.0,180.0,北京,天天数链,500,"IT,Spring,MyBatis,MySQL","可居家办公,年龄不设上限","软件服务,咨询,IT技术服务,咨询,不需要融资"
995,3,java开发工程师,20.0,30.0,300.0,深圳,深圳穗彩,500,"IT,Spring,SQL,Server,MySQL","大牛团队,福利好,氛围好","IT技术服务,咨询,上市公司"
