,job,money,skill,ink,area,jobDes,inkDes
51,（25k+）人工智能导师+14天带薪年假,25k-50k,教育｜培训 自然语言处理 数据挖掘 搜索｜推荐 回归算法 NLP,传智教育,[北京·西三旗],“14天带薪年假，上市教育公司”,教育｜培训 / 上市公司 / 500-2000人
52,销售经理（人工智能产品）,10k-20k,人工智能服务 数据服务｜咨询,FunPlus 趣加游戏,[北京·海淀区],“全球化人工智能产品”,"游戏,MCN｜直播平台 / B轮 / 500-2000人"
53,人工智能工程师（初级）,18k-29k,网络通信 JAVA C++ Python,广东亿迅,[广州·珠江新…],“电信子公司、国企大平台”,"软件服务｜咨询,IT技术服务｜咨询,网络通信 / 不需要融资 / 2000人以上"
54,人工智能算法工程师,15k-25k,软件服务｜咨询 人工智能服务 Python 人工神经网络类算法,设计院,[中山·中山市…],“人工智能、岗位有编制”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
55,人工智能方向研究员,20k-30k,智能硬件 人工智能服务 Python C++ pytorch tensorflow,之江实验室,[杭州·余杭区],“学习发展空间大；科研单位；”,智能硬件 / 不需要融资 / 500-2000人
56,人工智能算法工程师,17k-30k,人工智能服务 深度学习 科研 分布式机器学习 TensorFlow Pytorch MXNet,之江实验室,[杭州·余杭区],“国家事业 科学技术研究 大咖云集”,智能硬件 / 不需要融资 / 500-2000人
57,人工智能技术专家,30k-59k,科技金融 自然语言处理 深度学习 语音｜音频处理,兴业数金,[福州·马尾区],“科技金融”,科技金融 / 不需要融资 / 500-2000人
58,人工智能技术专家,30k-59k,科技金融 自然语言处理 深度学习 语音｜音频处理,兴业数金,[成都·高新区],“科技金融”,科技金融 / 不需要融资 / 500-2000人
59,人工智能算法工程师,25k-45k,游戏 人工智能服务 C++ 图像｜视频处理 自然语言处理 语音｜音频处理,世纪华通,[上海·张江],“元宇宙+虚拟世界”,游戏 / 上市公司 / 2000人以上
60,人工智能数据挖掘工程师 (MJ000293),25k-50k,游戏 Python MATLAB 回归算法 贝叶斯类算法 深度学习,尚游游戏,[深圳·科技园],“业务探索和应用场景多样化，人工智能合伙人”,游戏 / 不需要融资 / 150-500人
61,（25k+）人工智能导师,25k-50k,教育｜培训 自然语言处理 数据挖掘 Hadoop Spark 回归算法,传智教育,[北京·西三旗],“上市公司，14天带薪年假”,教育｜培训 / 上市公司 / 500-2000人
62,机器学习平台架构师-武汉人工智能研究院（拟）,25k-45k,人工智能服务 Windows Linux 人工神经网络类算法 深度学习,中科院自动化所,[武汉·洪山区],“前期筹建”,人工智能服务 / 不需要融资 / 2000人以上
63,油气物联网人工智能专家,20k-40k,人工智能服务 深度学习,昆仑数智,[北京·石景山…],“发展前景好”,"IT技术服务｜咨询,信息安全,软件服务｜咨询 / 不需要融资 / 2000人以上"
64,人工智能应用开发工程师（NLP/CV),18k-35k,人工智能服务 Python,小i机器人,[上海·嘉定区],“资深团队”,智能硬件 / 不需要融资 / 500-2000人
65,人工智能导师,18k-25k,教育｜培训 在职人员 Python培训 在线小班课 大学生 人工智能培训,传智教育,[北京·西三旗],“上市公司福利多多”,教育｜培训 / 上市公司 / 500-2000人
66,人工智能工程师 (MJ000282),30k-60k,游戏 C++ Python 搜索｜推荐 自然语言处理 图像｜视频处理,尚游游戏,[深圳·科技园],“AI合伙人，为公司提供技术可行性和技术评估”,游戏 / 不需要融资 / 150-500人
67,销售经理(人工智能行业）,15k-25k,人工智能服务,天陆海导航设备,[深圳·宝安区],“高科技 优秀团队 奇葩队友 股权激励”,"硬件,人工智能,通讯电子 / 未融资 / 50-150人"
68,博士-人工智能算法（图像识别）,20k-40k,部门管理 技术管理 测试管理,海尔集团,[青岛·崂山区],“物联网平台”,物联网 / 上市公司 / 2000人以上
69,JAVA开发工程师（人工智能）(JBT62),15k-30k,新零售 电商平台 Web后端开发,多点Dmall,[成都·高新区],"“下午茶, 瑜伽健身, 六险一金, 餐补”",新零售 / C轮 / 500-2000人
70,医学人工智能算法研究员（博士）,20k-35k,软件服务｜咨询 JAVA Python C++,神州医疗,[北京·西苑],“发展前景大 工作氛围nice”,软件服务｜咨询 / 不需要融资 / 150-500人
71,人工智能算法工程师,30k-50k,物联网 人工智能服务 人工神经网络类算法 深度学习 强化学习 SNN CNN,南湖院,[北京·西山],“事业单位、包食宿、班车接送，对标一线城市薪酬”,"人工智能服务,物联网,制造业 / 不需要融资 / 150-500人"
72,人工智能专家,30k-60k,软件服务｜咨询 深度学习 数据挖掘,中电普信,[北京·上地],“军工业务大数据项目”,IT技术服务｜咨询 / B轮 / 150-500人
73,人工智能-NLP算法工程师,13k-15k,软件服务｜咨询 人工智能服务 Python 深度学习 自然语言处理,成都拓尔思,[成都·高新区],“发展前景好，福利待遇好”,数据服务｜咨询 / 上市公司 / 150-500人
74,人工智能-图像/视频算法工程师,15k-30k,人工智能服务 C++ Python 深度学习 图像｜视频处理,翔创科技,[北京·朝阳区],“创业公司，大牛带队。”,"人工智能服务,物联网 / 天使轮 / 50-150人"
75,人工智能-图像识别工程师,13k-15k,人工智能服务 软件服务｜咨询 Python 深度学习 图像｜视频处理 人脸识别,成都拓尔思,[成都·高新区],“发展前景好，福利待遇好”,数据服务｜咨询 / 上市公司 / 150-500人
76,人工智能与大数据产品经理,10k-20k,人工智能服务 产品策划 需求分析 产品设计 原型设计,东云睿连,[武汉·流芳],“发展潜力大”,人工智能服务 / 不需要融资 / 15-50人
77,嵌入式人工智能工程师,12k-24k,软件服务｜咨询 人工智能服务 C++ Python Linux,建采网,[珠海·香洲区],“岗位发展和提升空间大”,"软件服务｜咨询,数据服务｜咨询 / 不需要融资 / 50-150人"
78,人工智能算法总监,40k-60k,人工智能服务 JAVA 深度学习 机器视觉,仪电人工智能创新院,[上海·龙华],“五险一金、环境佳、工会、餐贴”,人工智能 / 未融资 / 15-50人
79,人工智能技术总监,40k-70k,人工智能服务,载顺（重庆）信息科技有限公司,[广州·黄埔区],“人工智能”,"IT技术服务｜咨询,人工智能服务,信息安全 / 不需要融资 / 150-500人"
80,数据分析专员-人工智能方向,10k-20k,技能培训 岗位晋升 扁平管理 领导好,麦图科技,[上海·静安区],“股票期权，带薪年假，弹性工作，扁平管理”,"人工智能服务,IT技术服务｜咨询 / A轮 / 50-150人"
81,K12人工智能课程开发工程师,8k-15k,人工智能服务 教育｜培训,上海微泛电子,[上海·闵行区],“扁平化管理 快速成长期 核心有期权”,"移动互联网,硬件 / 天使轮 / 少于15人"
82,AI算法工程师（人工智能）,15k-30k,人工智能服务 金融业 自然语言处理 Pytorch Tensorflow,浙商期货有限公司,[杭州·西溪],“周末双休，餐费补贴，五险一金，优秀员工奖等”,金融 / 不需要融资 / 500-2000人
83,Python工程师（人工智能）,15k-30k,金融业 人工智能服务 JAVA MySQL Hive,浙商期货有限公司,[杭州·西溪],“年终奖金、五险一金、餐费补贴、周末双休等”,金融 / 不需要融资 / 500-2000人
84,人工智能算法工程师,20k-30k,物联网 Python JAVA Linux 数据挖掘,世昕软件,[上海·吴淞],“企业福利待遇好、氛围轻松自由”,IT技术服务｜咨询 / 上市公司 / 15-50人
85,人工智能工程师,25k-50k,区块链 JAVA MyBatis 图像｜视频处理 AI 图像识别,菱云科技,[北京·国展],“区块链，车联网，行业平台，晋升空间，稳定背景”,IT技术服务｜咨询 / 不需要融资 / 50-150人
86,人工智能自然语言处理算法工程师,20k-40k,互联网金融 银行 机器学习,建信金科,[北京·海淀区],“良好发展趋势与发展空间、工作与学习氛围。”,科技金融 / 不需要融资 / 2000人以上
87,机器训练师（人工智能方向）,8k-12k,人工智能服务,顺天立安,[北京·海淀区],“晋升快”,"信息安全,人工智能 / 不需要融资 / 50-150人"
88,人工智能课程经理,9k-15k,教育｜培训 小学生 初中生 Python培训,卓世未来,[北京·西北旺],“人工智能课程设计”,"人工智能服务,在线教育 / 天使轮 / 50-150人"
89,人工智能算法管理培训生,15k-25k,电商平台 人工智能服务 Python,斐樊科技,[上海·徐家汇],“发展前景广阔”,人工智能 / 天使轮 / 15-50人
90,人工智能专家(CIO）,60k-80k,人工智能服务 软件服务｜咨询 计算化学 算法开发 深度学习 AI,国工智能,[上海·闵行区],“高速发展，细分领域领跑，股权激励”,人工智能 / A轮 / 50-150人
91,人工智能算法工程师,14k-24k,C++ Python 深度学习 教育,成都佳发,[成都·武侯区],“股权激励、项目奖金”,"人工智能服务,工具类产品 / 上市公司 / 500-2000人"
92,销售助理（AI人工智能）,4k-8k,售后支持 客户代表,华安泰,[深圳·龙岗区],“发展前景、福利待遇高”,"移动互联网,数据服务 / 未融资 / 50-150人"
93,人工智能实习生,2k-3k,科技金融 人工智能服务 Python 数据挖掘,点宽,[深圳·南山区],“不定期下午茶”,教育 / 未融资 / 15-50人
94,DeeCamp人工智能训练营UI/UE设计顾问,3k-5k,金融业 宣传册｜刊物设计,创新工场AI工程院,[北京·中关村],“地铁周边”,人工智能服务 / 未融资 / 150-500人
95,人工智能训练师（实习生岗）,4k-5k,人工智能服务 PMP,集纳盛广,[北京·上地],“公司气氛活跃，领导亲和，弹性工作”,"数据服务,人工智能 / 未融资 / 50-150人"
96,人工智能技术专家,30k-59k,科技金融 自然语言处理 深度学习 语音｜音频处理,兴业数金,[上海·塘桥],“科技金融”,科技金融 / 不需要融资 / 500-2000人
97,人工智能方向研究员,20k-30k,智能硬件 人工智能服务 Python C++ pytorch tensorflow,之江实验室,[杭州·余杭区],“学习发展空间大；科研单位；”,智能硬件 / 不需要融资 / 500-2000人
98,人工智能开发工程师,15k-25k,人工智能服务 JAVA Python C++ C语言,之江实验室,[杭州·余杭区],“大平台，前景好”,智能硬件 / 不需要融资 / 500-2000人
99,AI人工智能数据处理图像标注（实习生）,3k-5k,信息安全 通信/网络设备,英歌智达,[杭州·翠苑],“社保公积金餐补带薪年假员工旅游周末双休”,IT技术服务｜咨询 / A轮 / 15-50人
100,人工智能训练师,3k-4k,人工智能服务,聚微启创,[成都·新都区],“创业公司”,数据服务｜咨询 / 未融资 / 15-50人
101,视频数据标注专员（人工智能训练师）,3k-6k,人工智能服务 短视频 内容运营 短视频内容运营,新壹科技,[长春·解放大…],“大公司业务”,"文娱|内容,人工智能,数据服务 / 不需要融资 / 50-150人"
102,人工智能神经元重构师,3k-6k,人工智能服务 数据服务｜咨询 虹膜识别 神经元识别 图像检测,数智科技,[达州·通川区],“技术前沿”,人工智能服务 / 未融资 / 15-50人
103,人工智能神经元重构师,3k-6k,人工智能服务,汇众天智,[成都·郫县],“就业有未来”,数据服务｜咨询 / 未融资 / 50-150人
104,解决方案架构师（AI人工智能方向）,15k-30k,网络通信 Hadoop Spark 自然语言处理,移动研究院,[北京·西城区],“年底双薪、绩效奖金、带薪年假、五险一金等”,"数据服务｜咨询,网络通信 / 不需要融资 / 500-2000人"
105,人工智能算法科学家,50k-80k,互联网金融 银行 系统架构 运维管理 架构师,建信金科,[北京·海淀区],“良好发展趋势与发展空间、工作与学习氛围。”,科技金融 / 不需要融资 / 2000人以上
106,人工智能视觉工程师,20k-30k,人工智能服务,楚大智能研究院,[武汉·关山],“人工智能 机器人”,"硬件,人工智能 / 未融资 / 150-500人"
107,人工智能项目合伙人,30k-50k,人工智能服务 数据服务｜咨询 数据标注 团队搭建,兰秋信息,[哈尔滨·先锋],“简单好操作 逻辑简单”,人工智能 / 不需要融资 / 15-50人
108,人工智能布道师运营,20k-35k,节日礼物 技能培训 免费班车 绩效奖金,百度,[北京·西二旗],“百度核心团队，人工智能前沿方向”,"工具类产品,人工智能服务,信息检索 / 上市公司 / 2000人以上"
109,软件项目经理-AI人工智能NLP头部公司-双休 弹性,25k-40k,软件服务｜咨询 人工智能服务 PMP 软件项目交付 需求分析,竹间智能科技(上海)有限公司,[上海·徐汇区],“AI独角兽 外企 弹性 不打卡 双休 成长空间大”,人工智能服务 / C轮 / 150-500人
110,软件项目经理-AI人工智能NLP头部公司-双休 弹性,25k-35k,人工智能服务 IT技术服务｜咨询 PMP,竹间智能科技(上海)有限公司,[深圳·大冲],“AI独角兽 微软系 弹性 不打卡 双休 氛围好”,人工智能服务 / C轮 / 150-500人
111,cto首席技术官（人工智能）,100k-150k,人工智能服务 科技金融,莱柏沃亚,[北京·朝阳区],“技术大牛”,"智能硬件,软件服务｜咨询 / 不需要融资 / 50-150人"
112,嵌入式高级工程师（人工智能技术应用服务公司）(NNHV),20k-40k,人工智能服务 Linux TCP/IP STM32,钟鼎资本,[上海·浦东新…],"“晋升空间大, 带薪休假”",金融 / 未融资 / 50-150人
113,百度AI人工智能销售总监,18k-35k,人工智能服务,郑州腾佑科技有限公司,[郑州·姚寨],“百度互联网大厂产品”,"移动互联网,数据服务 / 不需要融资 / 50-150人"
114,人工智能高级专家,3k-4k,人工智能服务 回归算法 云计算｜云存储 自动化机器学习,金电联行,[北京·朝阳区],“博士后创新实践基地”,"人工智能服务,软件服务｜咨询 / D轮及以上 / 500-2000人"
115,算法工程师（人工智能/智能编解码）,20k-25k,智能硬件 C语言 Python MATLAB 深度学习,星宸科技,[上海·浦东新…],“技术大牛，绩效奖金，年度旅游，下午茶”,智能硬件 / 未融资 / 150-500人
116,人工智能算法工程师 自然语言处理 机器学习算法,20k-40k,数据挖掘 深度学习,南湖院,[上海·黄浦区],“新型研究院，事业单位，知名央企，人才房票”,"人工智能服务,物联网,制造业 / 不需要融资 / 150-500人"
117,人工智能算法工程师,15k-25k,人工智能服务 人工神经网络类算法 深度学习 科研,中科院自动化所,[北京·海淀区],“领先的AI算法团队，完善的职业发展培训体系”,人工智能服务 / 不需要融资 / 2000人以上
118,人工智能工程师,16k-21k,人工智能服务 软件服务｜咨询 人工神经网络类算法 深度学习 自然语言处理,阳光保险集团,[北京·永顺],“大牛带队，扁平化管理，成长空间大”,科技金融 / 不需要融资 / 2000人以上
119,人工智能实习生,3k-4k,网络通信 C++ Python 聚类算法 人工神经网络类算法 深度学习,中国电信北京研究院,[北京·北七家],“央企，有班车”,"数据服务｜咨询,网络通信 / 不需要融资 / 2000人以上"
120,人工智能云端服务器部署运维经理,40k-70k,IT技术服务｜咨询 人工智能服务 Linux 交付,,[成都·高新区],“创始人背景好”,专业服务｜咨询 / 不需要融资 / 150-500人
121,人工智能应用系统研发专家和工程师,30k-60k,人工智能服务 深度学习,,[北京·万泉河],“期权”,专业服务｜咨询 / 未融资 / 15-50人
122,人工智能算法及其应用系统研发资深专家,30k-60k,人工智能服务 深度学习,,[北京·万泉河],“期权”,专业服务｜咨询 / 未融资 / 15-50人
123,行业人工智能产品专家,50k-80k,人工智能服务 基础业务产品 数据产品,,[北京·望京],“公司平台稳定，周末双休，带薪病假年假”,"企业服务,其他 / 不需要融资 / 50-150人"
124,人工智能算法工程师,20k-30k,人工智能服务 Python,,[成都·天彭],“行业优异”,专业服务｜咨询 / 不需要融资 / 50-150人
125,【NetEase杭州】人工智能研究员（虚拟人）,25k-50k,工具类产品 深度学习,,[杭州·余杭区],“福利待遇”,"工具类产品,专业服务｜咨询 / 不需要融资 / 15-50人"
126,java架构师（人工智能）,50k-80k,年底双薪 年终分红 绩效奖金 带薪年假,猎猫猫企业管理,[北京·望京],“公司好 产品棒 薪资高”,专业服务｜咨询 / 不需要融资 / 50-150人
127,#217778 人工智能算法工程师,40k-70k,工具类产品 JAVA,,[深圳·西丽],“#217778 人工智能算法工程师”,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人"
128,人工智能算法工程师-（中级）,30k-50k,IT技术服务｜咨询 软件服务｜咨询 C++ C语言 Python,某大型互联网上市集团公司,[上海·闵行区],“股票期权，发展前景好，福利待遇好，公司规模大”,
129,AI人工智能工程师（人工智能NLP算法方向）,15k-20k,软件服务｜咨询 数据服务｜咨询 C语言 Python SQL C++,感觉统合大数据研究院,[郑州·郑东新…],“大牛带队，单双休，法定节假日，食堂”,"企业服务,工具,通讯电子 / 不需要融资 / 150-500人"
130,人工智能方向工程师,30k-50k,人工智能服务 智能硬件 C++ Python,,[杭州·西湖区],“与中国兵器装备集团联合招聘”,专业服务｜咨询 / 未融资 / 15-50人
131,人工智能（自动驾驶）产品高级总监/总监,60k-80k,人工智能服务 基础业务产品 策略产品 数据产品 中后台产品 TO C,,[上海·张江],“与高仙机器人联合招聘”,专业服务｜咨询 / 未融资 / 15-50人
132,人工智能算法,15k-25k,金融业 Python PyTorch TensorFlow Caffe NLP,,[深圳·南油],“世界五百强技术氛围浓厚福利待遇好六险一金”,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人"
133,人工智能解决方案专家,30k-40k,金融业 PMP,,[厦门·思明区],“公司nice，发展好”,专业服务｜咨询 / 未融资 / 15-50人
134,人工智能算法工程师,30k-40k,金融业 Python JavaScript MySQL Spring,,[厦门·思明区],"“公司nice ,发展好”",专业服务｜咨询 / 未融资 / 15-50人
135,数据挖掘岗-人工智能方向（某银行总行）,40k-60k,金融业 科技金融 语音｜音频处理 自然语言处理,某知名企业,[深圳·新洲],“平台稳定”,
136,人工智能专家（北京电力公司旗下）,30k-40k,人工智能服务 C++ Python,,[北京·德胜门],“北京电力公司下属单位 、国企 服务国家电网”,"工具类产品,专业服务｜咨询 / 不需要融资 / 500-2000人"
137,人工智能大数据,40k-70k,人工智能服务 图像｜视频处理,,[北京·亦庄],“高级岗”,企业服务、其他 / 未融资 / 150-500人
138,交通云行业架构师（架构师创造营 人工智能方向） 9级,40k-60k,网络通信 JAVA C++,,[北京·朝阳区],“2、一线互联网大厂平台 3、福利好”,"工具类产品,数据服务｜咨询,专业服务｜咨询 / 未融资 / 150-500人"
