,job,money,skill,ink,area,jobDes,inkDes
57,java开发工程师,8k-15k,IT技术服务｜咨询 金融业 Vue Spring MyBatis ORACLE,中科软,[上海·金桥],“五险一金、每年两次调薪、旅游、体检、年终奖等”,IT技术服务｜咨询 / 上市公司 / 2000人以上
58,java后端开发工程师,12k-18k,IT技术服务｜咨询 软件服务｜咨询 SQL Spring MyBatis MySQL,中科软,[北京·四惠],“发展空间很大，关爱员工，不定期举办活动。”,IT技术服务｜咨询 / 上市公司 / 2000人以上
59,java软件开发工程师,5k-10k,人工智能服务 Python Spring ORACLE,中国民航信息网络股份有限公司重庆分公司,[重庆·渝北区],“五险二金、带薪年假、工会福利、教育培训”,生活服务 / 上市公司 / 500-2000人
60,Java开发工程师,11k-20k,工具类产品 Spring 自研产品 多线程 高并发,财象云,[深圳·大冲],“亿级用户量平台，高并发，自研产品”,"生活服务,软件服务｜咨询,专业服务｜咨询 / 未融资 / 150-500人"
61,java开发工程师,15k-18k,Spring 互联网金融,屹通信息,[上海·曹路],“上市公司 多次调薪 五险一金 双休”,"金融,数据服务 / 上市公司 / 2000人以上"
62,java开发工程师,10k-15k,软件服务｜咨询 人工智能服务 ORACLE Spring,汇合,[深圳·南山区],“六险一金 一档社保 地铁周边 加班有偿”,科技金融 / 不需要融资 / 2000人以上
63,java开发工程师,10k-15k,IT技术服务｜咨询 科技金融 JavaScript MyBatis SQL Server 后端 软件开发,达昌基金,[深圳·南山区],“福利待遇好、办公环境美、团队气氛佳”,金融业 / 不需要融资 / 50-150人
64,JAVA开发工程师,12k-16k,JavaScript MyBatis,博奥特科技,[深圳·龙岗区],“周末双休，福利待遇好”,"IT技术服务｜咨询,软件服务｜咨询 / 未融资 / 500-2000人"
65,Java开发工程师,10k-20k,IT技术服务｜咨询 网络通信 MySQL Linux,亚信,[北京·小关],“上市公司 福利全面 重点项目”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
66,java开发工程师,10k-15k,IT技术服务｜咨询 网络通信 Javaboot Javacloud,亚信,[南京·定淮门],“上市公司 福利全面”,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上"
67,Software Engineer 2 SharePoint 后端开发,30k-60k,IT技术服务｜咨询 C++ C#,微软（中国）有限公司,[苏州·工业园…],“股票期权 灵活办公”,软件服务｜咨询 / 上市公司 / 2000人以上
68,高级java后端开发工程师,30k-50k,智能硬件 app 社区 平台,爱奇艺智能,[北京·中关村],“双休 六险一金 晋升空间大 福利好”,"人工智能服务,智能硬件 / B轮 / 150-500人"
69,java开发工程师,10k-11k,信息安全 Springcloud Springboot redis,国科科技,[成都·抚琴],“央企”,"软件服务｜咨询,IT技术服务｜咨询 / 未融资 / 150-500人"
70,java开发工程师,10k-20k,MyBatis Spring,博彦科技,[杭州·余杭区],“弹性工作 周末双休”,"人工智能服务,软件服务｜咨询,数据服务｜咨询 / 上市公司 / 2000人以上"
71,java开发工程师,10k-17k,物联网 能源｜矿产｜环保 Vue MySQL springboot,翌日科技,[深圳·宝安区],“牛人带队 扁平化管理 成长空间”,智能硬件 / C轮 / 150-500人
72,JAVA开发工程师,11k-17k,IT技术服务｜咨询,微创软件,[上海·浦东新…],“发展前景”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
73,后端开发工程师,20k-40k,JavaScript Node.js 数字医疗,彼爱医疗,[杭州·滨江区],“带薪年假、五险一金、扁平管理、岗位晋升”,软件服务｜咨询 / A轮 / 50-150人
74,java开发工程师,15k-30k,工具类产品 Spring,沐瞳科技,[上海·闵行区],“平台好，弹性工作，上市企业”,游戏 / 不需要融资 / 500-2000人
75,java开发工程师,12k-20k,软件服务｜咨询,契约锁,[沈阳·胜利],“1、内研产品竞争强，2、福利待遇好”,工具类产品 / C轮 / 500-2000人
76,Software Engineer 2 SharePoint 后端开发,30k-60k,IT技术服务｜咨询 C++ C#,微软（中国）有限公司,[苏州·工业园…],“股票期权 灵活办公”,软件服务｜咨询 / 上市公司 / 2000人以上
77,Java开发工程师,9k-15k,金融业,谷沃科技,[广州·市桥],“五险一金 双休 培训 加班补贴 年度体检”,"金融,数据服务 / 未融资 / 150-500人"
78,Java开发工程师,12k-20k,新零售 移动互联网 后端 软件开发 分布式,屈臣氏科技创新中心,[深圳·东门],“五险一金 专业培训 双薪奖金 超长年假”,"电商平台,IT技术服务｜咨询 / 不需要融资 / 50-150人"
79,java开发工程师,10k-11k,信息安全 Springcloud Springboot redis,国科科技,[成都·抚琴],“央企”,"软件服务｜咨询,IT技术服务｜咨询 / 未融资 / 150-500人"
80,java开发工程师,11k-15k,音频｜视频媒体 智能硬件,卡莱特,[深圳·西丽],“上市公司，工作环境nice”,IT技术服务｜咨询 / 未融资 / 500-2000人
81,java开发工程师,15k-25k,金融业,壹诺恒,[深圳·科技园],“双休”,人工智能服务 / 不需要融资 / 500-2000人
82,java开发工程师,10k-15k,软件服务｜咨询 人工智能服务 ORACLE Spring,汇合,[深圳·南山区],“六险一金 一档社保 地铁周边 加班有偿”,科技金融 / 不需要融资 / 2000人以上
83,高级Java软件开发工程师,16k-22k,IT技术服务｜咨询 信息安全 JavaScript Spring,廷桥信息,[上海·金桥],“网络信息安全行业前景好，团队氛围好”,"IT技术服务｜咨询,信息安全,软件服务｜咨询 / 未融资 / 15-50人"
84,软件开发工程师,15k-25k,短视频 分类信息 GO,忻知科技,[上海·延吉],“晋升快”,IT技术服务｜咨询 / 天使轮 / 15-50人
85,java开发工程师,9k-14k,Spring MySQL 保险,中科软,[武汉·徐东],“稳定”,IT技术服务｜咨询 / 上市公司 / 2000人以上
86,java开发工程师,8k-15k,IT技术服务｜咨询 金融业 Vue Spring MyBatis ORACLE,中科软,[上海·金桥],“五险一金、每年两次调薪、旅游、体检、年终奖等”,IT技术服务｜咨询 / 上市公司 / 2000人以上
87,JAVA开发工程师,12k-17k,软件服务｜咨询,Aspentech,[上海·浦东新…],“试用期全额 补充医疗保险 不打卡 带薪年假”,软件服务｜咨询 / 上市公司 / 500-2000人
88,java开发工程师,15k-25k,工具类产品,杰成合力,[深圳·南山区],“晋升快”,软件服务｜咨询 / 不需要融资 / 50-150人
89,后端开发,20k-40k,软件服务｜咨询 数据服务｜咨询 PostgreSQL(PSQL) Linux,1Token,[上海·杨浦区],“弹性工时、季度奖、年底Bonus、餐补、车补”,科技金融 / A轮 / 50-150人
90,Java开发工程师,10k-18k,软件服务｜咨询 JavaScript Spring MyBatis IT技术服务｜咨,广州南天,[广州·珠江新…],"“五险一金,周末双休,节日礼品,年度体检”",IT技术服务｜咨询 / 上市公司 / 500-2000人
91,后端开发,20k-40k,软件服务｜咨询 数据服务｜咨询 PostgreSQL(PSQL) Linux,1Token,[上海·杨浦区],“弹性工时、季度奖、年底Bonus、餐补、车补”,科技金融 / A轮 / 50-150人
92,java开发工程师,15k-25k,电商平台,万博时代,[深圳·龙华新…],“团队氛围好”,"电商平台,营销服务｜咨询,制造业 / 未融资 / 150-500人"
93,java开发工程师,15k-25k,软件服务｜咨询 人工智能服务 React Vue,紫牛云,[上海·曹路],“不加班，有年终奖”,"软件服务｜咨询,人工智能服务 / A轮 / 150-500人"
94,后端开发工程师,35k-50k,区块链 GO Python MyBatis SQL Server 区块链,磐沄科技,[北京·海淀区],“发展空间大 独角兽 扁平化管理”,区块链 / C轮 / 50-150人
95,Java开发工程师,15k-28k,科技金融 Spring MyBatis ORACLE,浙江保融,[杭州·余杭区],“不定期团建，五险一金”,科技金融 / 不需要融资 / 500-2000人
96,后端开发工程师,25k-50k,人工智能服务 IT技术服务｜咨询 C++ GO,商汤科技,[上海·徐家汇],“大平台、大神多、福利待遇好”,"人工智能服务,IT技术服务｜咨询 / 上市公司 / 2000人以上"
97,java开发工程师,15k-25k,软件服务｜咨询 IT技术服务｜咨询 MyBatis Spring,地平线云数科技,[北京·朝阳区],“大牛带队，试用期不打折，加班少，团队好，双休”,"数据服务｜咨询,人工智能服务,软件服务｜咨询 / 天使轮 / 少于15人"
98,JAVA开发工程师,12k-16k,JavaScript MyBatis,博奥特科技,[深圳·龙岗区],“周末双休，福利待遇好”,"IT技术服务｜咨询,软件服务｜咨询 / 未融资 / 500-2000人"
99,java开发工程师,13k-18k,区块链,刀豆网络,[杭州·余杭区],“发展前景好”,"电商,文娱丨内容 / A轮 / 15-50人"
100,后端开发工程师,18k-35k,金融业 JAVA,泰康人寿,[北京·昌平区],“福利待遇好”,金融业 / 上市公司 / 2000人以上
101,java开发工程师,13k-25k,IT技术服务｜咨询 网络通信 Netty MySQL Linux TCP/IP,润通丰华,[北京·海淀区],“五险一金、餐补话补、周末双休、定期体检”,IT技术服务｜咨询 / 不需要融资 / 50-150人
102,java开发工程师,14k-20k,IT技术服务｜咨询 软件服务｜咨询 Spring MySQL,易立德,[佛山·乐从],“周末双休 年终奖 加班费”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
103,Java开发工程师,11k-18k,软件服务｜咨询,京北方,[成都·锦江区],“五险一金”,IT技术服务｜咨询 / 上市公司 / 2000人以上
104,java开发工程师,11k-18k,IT技术服务｜咨询 Vue,雁展科技,[北京·建国门],“发展前景好”,"IT技术服务｜咨询,软件服务｜咨询 / B轮 / 50-150人"
105,后端开发工程师,20k-40k,JavaScript Node.js 数字医疗,彼爱医疗,[杭州·滨江区],“带薪年假、五险一金、扁平管理、岗位晋升”,软件服务｜咨询 / A轮 / 50-150人
106,Software Engineer 2 SharePoint 后端开发,30k-60k,IT技术服务｜咨询 C++ C#,微软（中国）有限公司,[苏州·工业园…],“股票期权 灵活办公”,软件服务｜咨询 / 上市公司 / 2000人以上
107,java开发工程师,20k-40k,休闲｜娱乐 音频｜视频媒体 Spring MySQL,万声音乐集团,[深圳·南山区],“工作环境舒适，福利待遇优越，同事关系融洽！”,"文化传媒,休闲｜娱乐 / B轮 / 50-150人"
108,java开发工程师,15k-20k,金融业,赞同科技,[深圳·福田区],“年终奖”,"软件服务｜咨询,数据服务｜咨询 / 不需要融资 / 2000人以上"
109,软件开发工程师,8k-15k,IT技术服务｜咨询 软件服务｜咨询 JAVA C语言 C# Java .NET C,苏州日升软件,[苏州·吴中区],“项目奖、年终奖、月度聚餐、节日福利、旅游”,IT技术服务｜咨询 / 未融资 / 50-150人
110,高级JAVA后端开发工程师,18k-36k,科技金融 音频｜视频媒体 Spring 移动服务端开发,进门财经,[深圳·深圳湾],"“环境优雅,扁平化管理,晋升通道完善,股权激励”",科技金融 / B轮 / 50-150人
111,高级JAVA后端开发工程师（武汉）,15k-30k,科技金融 Spring 移动服务端开发 音视频,进门财经,[武汉·东湖新…],"“环境优雅,扁平化管理,晋升通道完善,股权激励”",科技金融 / B轮 / 50-150人
112,java开发工程师,18k-26k,电商平台 新能源汽车制造,加绩中国,[上海·嘉定区],“前景好 待遇好”,企业服务 / 不需要融资 / 2000人以上
