,job,money,skill,ink,area,jobDes,inkDes
32,测试工程师,8k-12k,人工智能服务 IT技术服务｜咨询 功能测试 性能测试 自动化测试 兼容性测试,NSOC大数据智能、可视化,[上海·浦东新…],“团队氛围，技术大牛云集，发展空间大”,"数据服务｜咨询,人工智能服务 / A轮 / 50-150人"
33,测试工程师,11k-20k,IT技术服务｜咨询 JAVA Python 自动化测试,京北方,[杭州·西溪],“双休、五险一金、银行、稳定”,IT技术服务｜咨询 / 上市公司 / 2000人以上
34,测试工程师,8k-13k,人工智能服务 Linux,赛维森,[广州·赤岗],“工作氛围佳，公司福利好”,"软件服务｜咨询,人工智能服务,医疗｜保健｜美容 / 未融资 / 15-50人"
35,测试工程师,14k-18k,功能测试 OA 办公系统,泛微,[上海·浦江],“发展空间广/福利待遇优/半年调薪/免费三餐”,软件服务｜咨询 / 上市公司 / 2000人以上
36,测试工程师,11k-18k,IT技术服务｜咨询 软件服务｜咨询 功能测试 性能测试 自动化测试,易立德,[深圳·坂田],“周末双休，五险一金，带薪年假”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
37,测试工程师,13k-18k,网络通信 Spring MySQL,公诚咨询,[广州·五山],“五险一金、节日福利、专业培训、定期体检”,"企业服务,其他 / 不需要融资 / 2000人以上"
38,测试工程师,5k-9k,软件服务｜咨询 IT技术服务｜咨询 功能测试,友点科技,[武汉·洪山区],“五险一金，双休，一档社保，免费体检”,"软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 50-150人"
39,测试工程师,8k-15k,IT技术服务｜咨询 功能测试,魔豆互动,[成都·武侯区],“大牛带队、周末双休、带薪年假、节日福利”,IT技术服务｜咨询 / 未融资 / 50-150人
40,qa测试工程师,12k-16k,软件服务｜咨询 IT技术服务｜咨询 自动化测试,坤亿科技,[上海·陆家嘴],“外企”,IT技术服务｜咨询 / 不需要融资 / 150-500人
41,测试工程师,8k-13k,IT技术服务｜咨询 Linux 功能测试 Docker,NCS,[成都·高新区],“六险一金 带薪年假 弹性工作 定期体检”,"IT技术服务｜咨询,数据服务｜咨询 / 不需要融资 / 500-2000人"
